sid,eid,aired
3,20,"May 20, 1978"
3,19,"May 13, 1978"
2,3,"October 2, 1976"
5,20,"May 24, 1980"
5,19,"May 17, 1980"
5,18,"May 10, 1980"
5,17,"April 19, 1980"
5,16,"April 12, 1980"
4,10,"January 27, 1979"
4,20,"May 26, 1979"
4,19,"May 19, 1979"
16,20,"May 18, 1991"
16,19,"May 11, 1991"
16,18,"April 20, 1991"
15,1,"September 30, 1989"
15,20,"May 19, 1990"
15,19,"May 12, 1990"
15,18,"April 21, 1990"
15,17,"April 14, 1990"
15,16,"March 24, 1990"
15,15,"March 17, 1990"
15,14,"February 24, 1990"
15,13,"February 17, 1990"
15,12,"February 10, 1990"
15,11,"January 20, 1990"
15,10,"January 13, 1990"
15,9,"December 16, 1989"
15,8,"December 9, 1989"
15,7,"December 2, 1989"
15,6,"November 18, 1989"
15,5,"November 11, 1989"
15,4,"October 28, 1989"
15,3,"October 21, 1989"
15,2,"October 7, 1989"
16,17,"April 13, 1991"
16,15,"March 16, 1991"
16,14,"February 23, 1991"
16,16,"March 23, 1991"
16,13,"February 16, 1991"
16,12,"February 9, 1991"
16,11,"January 19, 1991"
16,10,"January 12, 1991"
16,9,"December 15, 1990"
16,8,"December 8, 1990"
16,7,"December 1, 1990"
16,6,"November 17, 1990"
16,5,"November 10, 1990"
16,4,"October 27, 1990"
16,3,"October 20, 1990"
16,2,"October 6, 1990"
16,1,"September 29, 1990"
4,17,"April 14, 1979"
4,18,"May 12, 1979"
4,16,"April 7, 1979"
4,15,"March 17, 1979"
4,14,"March 10, 1979"
4,13,"February 24, 1979"
4,12,"February 17, 1979"
4,9,"December 16, 1978"
4,11,"February 10, 1979"
4,8,"December 9, 1978"
4,7,"December 2, 1978"
4,6,"November 18, 1978"
4,5,"November 11, 1978"
4,4,"November 4, 1978"
4,3,"October 21, 1978"
4,2,"October 14, 1978"
4,1,"October 7, 1978"
5,15,"April 5, 1980"
5,14,"March 15, 1980"
5,13,"March 8, 1980"
5,12,"February 23, 1980"
5,11,"February 16, 1980"
5,10,"February 9, 1980"
5,9,"January 26, 1980"
5,8,"December 22, 1979"
5,7,"December 15, 1979"
5,6,"December 8, 1979"
5,5,"November 17, 1979"
5,4,"November 10, 1979"
5,3,"November 3, 1979"
5,2,"October 20, 1979"
5,1,"October 13, 1979"
6,13,"April 11, 1981"
6,12,"March 7, 1981"
6,11,"February 21, 1981"
6,10,"February 14, 1981"
6,9,"February 7, 1981"
6,8,"January 24, 1981"
6,7,"January 17, 1981"
6,6,"January 10, 1981"
6,5,"December 20, 1980"
6,4,"December 13, 1980"
6,3,"December 6, 1980"
6,2,"November 22, 1980"
6,1,"November 15, 1980"
1,24,"July 31, 1976"
1,23,"July 24, 1976"
1,22,"May 29, 1976"
1,21,"May 22, 1976"
1,20,"May 15, 1976"
1,19,"May 8, 1976"
1,18,"April 24, 1976"
1,17,"April 17, 1976"
1,16,"March 13, 1976"
1,15,"February 28, 1976"
1,14,"February 21, 1976"
1,13,"February 14, 1976"
1,12,"January 31, 1976"
1,11,"January 24, 1976"
1,10,"January 17, 1976"
1,9,"January 10, 1976"
1,8,"December 20, 1975"
1,7,"December 13, 1975"
1,6,"November 22, 1975"
1,5,"November 15, 1975"
1,4,"November 8, 1975"
1,3,"October 25, 1975"
2,22,"May 21, 1977"
2,21,"May 14, 1977"
2,20,"April 23, 1977"
2,19,"April 16, 1977"
2,18,"April 9, 1977"
1,2,"October 18, 1975"
2,17,"March 26, 1977"
1,1,"October 11, 1975"
2,16,"March 19, 1977"
2,15,"March 12, 1977"
2,14,"February 26, 1977"
2,13,"January 29, 1977"
2,12,"January 22, 1977"
2,11,"January 15, 1977"
2,10,"December 11, 1976"
2,9,"November 27, 1976"
2,8,"November 20, 1976"
2,7,"November 13, 1976"
2,6,"October 30, 1976"
2,5,"October 23, 1976"
2,4,"October 16, 1976"
2,1,"September 18, 1976"
2,2,"September 25, 1976"
3,18,"April 22, 1978"
3,17,"April 15, 1978"
3,15,"March 25, 1978"
3,16,"April 8, 1978"
3,14,"March 18, 1978"
3,13,"March 11, 1978"
3,12,"February 25, 1978"
3,11,"February 18, 1978"
3,10,"January 28, 1978"
3,9,"January 21, 1978"
3,8,"December 17, 1977"
3,7,"December 10, 1977"
3,6,"November 19, 1977"
3,5,"November 12, 1977"
3,4,"October 29, 1977"
3,3,"October 15, 1977"
3,2,"October 8, 1977"
3,1,"September 24, 1977"
42,15,"March 4, 2017"
41,21,"May 21, 2016"
39,19,"May 3, 2014"
39,20,"May 10, 2014"
39,21,"May 17, 2014"
39,18,"April 12, 2014"
39,17,"April 5, 2014"
39,16,"March 29, 2014"
39,15,"March 8, 2014"
38,21,"May 18, 2013"
38,20,"May 11, 2013"
38,19,"May 4, 2013"
38,18,"April 13, 2013"
38,17,"April 6, 2013"
38,16,"March 9, 2013"
38,15,"March 2, 2013"
38,14,"February 16, 2013"
38,13,"February 9, 2013"
38,12,"January 26, 2013"
38,11,"January 19, 2013"
38,10,"December 15, 2012"
38,9,"December 8, 2012"
38,8,"November 17, 2012"
38,7,"November 10, 2012"
38,6,"November 3, 2012"
38,5,"October 20, 2012"
38,4,"October 13, 2012"
38,3,"October 6, 2012"
38,2,"September 22, 2012"
38,1,"September 15, 2012"
39,14,"March 1, 2014"
39,13,"February 1, 2014"
39,10,"December 21, 2013"
39,9,"December 14, 2013"
39,11,"January 18, 2014"
39,12,"January 25, 2014"
39,8,"December 7, 2013"
39,7,"November 23, 2013"
39,6,"November 16, 2013"
39,5,"November 2, 2013"
39,4,"October 26, 2013"
39,3,"October 12, 2013"
39,2,"October 5, 2013"
39,1,"September 28, 2013"
40,21,"May 16, 2015"
40,20,"May 9, 2015"
40,19,"May 2, 2015"
40,18,"April 11, 2015"
40,17,"April 4, 2015"
40,16,"March 28, 2015"
40,15,"March 7, 2015"
40,14,"February 28, 2015"
40,13,"January 31, 2015"
40,12,"January 24, 2015"
40,11,"January 17, 2015"
40,10,"December 20, 2014"
40,9,"December 13, 2014"
40,8,"December 6, 2014"
40,7,"November 22, 2014"
40,6,"November 15, 2014"
40,5,"November 1, 2014"
40,4,"October 25, 2014"
40,3,"October 11, 2014"
40,2,"October 4, 2014"
40,1,"September 27, 2014"
41,19,"May 7, 2016"
41,20,"May 14, 2016"
41,18,"April 16, 2016"
41,17,"April 9, 2016"
41,16,"April 2, 2016"
41,15,"March 12, 2016"
41,14,"March 5, 2016"
41,13,"February 13, 2016"
41,12,"February 6, 2016"
41,11,"January 23, 2016"
41,10,"January 16, 2016"
41,9,"December 19, 2015"
41,8,"December 12, 2015"
41,7,"December 5, 2015"
41,6,"November 21, 2015"
41,5,"November 14, 2015"
41,4,"November 7, 2015"
41,2,"October 10, 2015"
41,3,"October 17, 2015"
41,1,"October 3, 2015"
42,14,"February 11, 2017"
42,13,"February 4, 2017"
42,12,"January 21, 2017"
42,11,"January 14, 2017"
42,10,"December 17, 2016"
42,9,"December 10, 2016"
42,8,"December 3, 2016"
42,7,"November 19, 2016"
